label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
3,0,44,85,18,frame_00.png,100,100
3,0,6,100,23,frame_01.png,100,100
3,0,0,91,23,frame_02.png,100,100
3,0,11,100,56,frame_03.png,100,100
3,0,47,100,53,frame_04.png,100,100
3,11,42,89,58,frame_05.png,100,100
3,0,5,89,86,frame_06.png,100,100
3,0,9,78,81,frame_07.png,100,100
3,0,9,73,76,frame_08.png,100,100
3,3,10,60,66,frame_09.png,100,100
3,0,17,66,78,frame_10.png,100,100
3,0,29,69,71,frame_11.png,100,100
3,0,20,63,80,frame_12.png,100,100
3,3,11,55,61,frame_13.png,100,100
3,0,13,58,65,frame_14.png,100,100
