label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
2,33,41,18,14,frame_00.png,100,100
2,33,41,18,14,frame_01.png,100,100
2,33,41,18,15,frame_02.png,100,100
2,32,42,18,13,frame_03.png,100,100
2,32,42,18,14,frame_04.png,100,100
2,32,42,18,14,frame_05.png,100,100
2,32,42,18,15,frame_06.png,100,100
2,30,42,19,13,frame_07.png,100,100
2,29,42,19,14,frame_08.png,100,100
2,29,40,18,16,frame_09.png,100,100
2,27,40,20,16,frame_10.png,100,100
2,25,41,20,16,frame_11.png,100,100
2,23,41,20,16,frame_12.png,100,100
2,22,39,23,19,frame_13.png,100,100
2,23,38,22,21,frame_14.png,100,100
