label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
3,11,46,69,10,frame_00.png,100,100
3,5,46,75,9,frame_01.png,100,100
3,1,46,83,12,frame_02.png,100,100
3,0,46,87,9,frame_03.png,100,100
3,0,45,93,10,frame_04.png,100,100
3,0,43,95,13,frame_05.png,100,100
3,0,41,94,15,frame_06.png,100,100
3,0,41,90,15,frame_07.png,100,100
3,0,42,87,15,frame_08.png,100,100
3,0,43,80,14,frame_09.png,100,100
3,0,45,75,12,frame_10.png,100,100
3,0,47,74,13,frame_11.png,100,100
3,0,47,77,12,frame_12.png,100,100
3,0,47,72,13,frame_13.png,100,100
3,0,47,73,14,frame_14.png,100,100
