label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
3,5,37,69,10,frame_00.png,100,100
3,3,38,70,10,frame_01.png,100,100
3,0,38,72,10,frame_02.png,100,100
3,0,37,68,10,frame_03.png,100,100
3,0,37,70,10,frame_04.png,100,100
3,0,39,70,7,frame_05.png,100,100
3,3,39,74,8,frame_06.png,100,100
3,0,41,78,10,frame_07.png,100,100
3,0,41,75,11,frame_08.png,100,100
3,3,41,75,11,frame_09.png,100,100
3,5,39,73,9,frame_10.png,100,100
3,1,36,74,8,frame_11.png,100,100
3,0,23,76,8,frame_12.png,100,100
3,23,22,69,10,frame_13.png,100,100
3,0,37,60,5,frame_14.png,100,100
