label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
3,7,50,34,28,frame_00.png,100,100
3,5,52,30,26,frame_01.png,100,100
3,1,51,24,27,frame_02.png,100,100
3,3,50,19,24,frame_03.png,100,100
3,17,40,20,23,frame_04.png,100,100
3,29,38,16,20,frame_05.png,100,100
3,51,50,7,4,frame_06.png,100,100
3,46,68,27,6,frame_07.png,100,100
3,42,83,36,7,frame_08.png,100,100
3,34,86,54,9,frame_09.png,100,100
3,15,62,66,19,frame_10.png,100,100
3,21,42,61,28,frame_11.png,100,100
3,24,15,61,30,frame_12.png,100,100
3,30,1,62,30,frame_13.png,100,100
3,37,13,61,31,frame_14.png,100,100
