label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
5,2,19,91,54,frame_00.png,100,100
5,3,19,90,53,frame_01.png,100,100
5,0,15,100,57,frame_02.png,100,100
5,0,15,100,56,frame_03.png,100,100
5,0,15,100,57,frame_04.png,100,100
5,0,16,100,56,frame_05.png,100,100
5,0,16,98,52,frame_06.png,100,100
5,0,18,100,54,frame_07.png,100,100
5,0,24,89,62,frame_08.png,100,100
5,0,27,83,58,frame_09.png,100,100
5,5,32,86,48,frame_10.png,100,100
5,0,1,80,72,frame_11.png,100,100
5,0,22,92,58,frame_12.png,100,100
5,0,22,97,62,frame_13.png,100,100
5,3,23,96,60,frame_14.png,100,100
