label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
5,5,19,85,50,frame_00.png,100,100
5,5,17,85,51,frame_01.png,100,100
5,3,16,86,52,frame_02.png,100,100
5,0,15,88,51,frame_03.png,100,100
5,0,14,81,55,frame_04.png,100,100
5,0,16,77,65,frame_05.png,100,100
5,0,16,77,52,frame_06.png,100,100
5,0,0,50,76,frame_07.png,100,100
5,0,10,69,56,frame_08.png,100,100
5,0,5,83,60,frame_09.png,100,100
5,0,6,91,58,frame_10.png,100,100
5,0,8,85,55,frame_11.png,100,100
5,3,10,97,59,frame_12.png,100,100
5,1,11,99,61,frame_13.png,100,100
5,2,13,98,59,frame_14.png,100,100
