label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
4,8,28,60,23,frame_00.png,100,100
4,10,36,55,13,frame_01.png,100,100
4,4,13,33,44,frame_02.png,100,100
4,3,17,32,40,frame_03.png,100,100
4,30,16,24,44,frame_04.png,100,100
4,43,11,27,42,frame_05.png,100,100
4,39,6,42,36,frame_06.png,100,100
4,32,6,37,35,frame_07.png,100,100
4,27,11,40,31,frame_08.png,100,100
4,21,44,51,10,frame_09.png,100,100
4,22,43,38,13,frame_10.png,100,100
4,21,42,43,11,frame_11.png,100,100
4,19,27,37,22,frame_12.png,100,100
4,28,24,38,28,frame_13.png,100,100
4,29,25,37,23,frame_14.png,100,100
