label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
1,3,10,74,61,frame_00.png,100,100
1,8,11,72,58,frame_01.png,100,100
1,8,13,77,60,frame_02.png,100,100
1,8,11,81,62,frame_03.png,100,100
1,18,12,79,58,frame_04.png,100,100
1,23,38,49,36,frame_05.png,100,100
1,33,38,46,35,frame_06.png,100,100
1,40,38,51,37,frame_07.png,100,100
1,44,38,50,38,frame_08.png,100,100
1,1,16,98,61,frame_09.png,100,100
1,5,15,63,67,frame_10.png,100,100
1,9,13,55,33,frame_11.png,100,100
1,7,12,58,38,frame_12.png,100,100
1,11,11,66,64,frame_13.png,100,100
1,8,10,70,65,frame_14.png,100,100
