label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
1,36,7,39,26,frame_00.png,100,100
1,36,8,45,27,frame_01.png,100,100
1,37,8,40,26,frame_02.png,100,100
1,40,9,43,28,frame_03.png,100,100
1,42,10,41,29,frame_04.png,100,100
1,42,12,41,25,frame_05.png,100,100
1,39,11,39,26,frame_06.png,100,100
1,29,15,53,22,frame_07.png,100,100
1,26,12,46,28,frame_08.png,100,100
1,25,12,46,28,frame_09.png,100,100
1,24,13,44,29,frame_10.png,100,100
1,21,15,45,27,frame_11.png,100,100
1,25,13,42,26,frame_12.png,100,100
1,24,11,41,29,frame_13.png,100,100
1,25,11,44,29,frame_14.png,100,100
