label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
1,23,21,51,33,frame_00.png,100,100
1,24,22,58,36,frame_01.png,100,100
1,25,23,52,32,frame_02.png,100,100
1,22,28,57,31,frame_03.png,100,100
1,23,28,56,24,frame_04.png,100,100
1,23,27,53,34,frame_05.png,100,100
1,22,25,58,35,frame_06.png,100,100
1,24,29,54,35,frame_07.png,100,100
1,28,27,55,33,frame_08.png,100,100
1,30,28,53,35,frame_09.png,100,100
1,27,29,54,34,frame_10.png,100,100
1,28,28,58,32,frame_11.png,100,100
1,28,29,60,31,frame_12.png,100,100
1,30,29,56,32,frame_13.png,100,100
1,23,25,65,37,frame_14.png,100,100
