label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
1,40,25,41,21,frame_00.png,100,100
1,42,27,41,19,frame_01.png,100,100
1,43,26,42,20,frame_02.png,100,100
1,45,28,40,18,frame_03.png,100,100
1,48,27,41,21,frame_04.png,100,100
1,49,28,41,19,frame_05.png,100,100
1,48,27,42,21,frame_06.png,100,100
1,48,28,42,21,frame_07.png,100,100
1,51,28,40,21,frame_08.png,100,100
1,49,29,43,22,frame_09.png,100,100
1,51,28,40,21,frame_10.png,100,100
1,51,29,41,19,frame_11.png,100,100
1,50,29,40,18,frame_12.png,100,100
1,47,28,41,19,frame_13.png,100,100
1,49,28,39,23,frame_14.png,100,100
